macNo,ev,evGol,dep,depGol
1,TRABZONSPOR,0,FENERBAHCE,0
2,ISTANBULSPOR,2,ADANASPOR A.Ş.,2
3,ANKARAGUCU,1,MALATYASPOR,1
4,DİYARBAKIRSPOR,1,ALTAY,1
5,BURSASPOR,2,BESIKTAS,2
6,GÖZTEPE A.Ş.,2,ELAZIĞSPOR,1
7,GAZIANTEPFK,1,DENİZLİSPOR,1
8,KOCAELİSPOR,1,GENÇLERBİRLİĞİ,3
9,GALATASARAY,4,SAMSUNSPOR,1
10,DENİZLİSPOR,1,GALATASARAY,3
11,ELAZIĞSPOR,2,TRABZONSPOR,0
12,BESIKTAS,2,KOCAELİSPOR,1
13,GENÇLERBİRLİĞİ,4,ISTANBULSPOR,1
14,MALATYASPOR,1,GAZIANTEPFK,1
15,SAMSUNSPOR,1,BURSASPOR,0
16,FENERBAHCE,1,ANKARAGUCU,0
17,ADANASPOR A.Ş.,2,DİYARBAKIRSPOR,1
18,ALTAY,4,GÖZTEPE A.Ş.,2
19,GÖZTEPE A.Ş.,1,ADANASPOR A.Ş.,4
20,ISTANBULSPOR,1,BESIKTAS,2
21,TRABZONSPOR,0,ALTAY,0
22,KOCAELİSPOR,1,SAMSUNSPOR,2
23,GALATASARAY,2,BURSASPOR,0
24,ANKARAGUCU,3,ELAZIĞSPOR,1
25,DİYARBAKIRSPOR,1,GENÇLERBİRLİĞİ,4
26,DENİZLİSPOR,1,MALATYASPOR,0
27,GAZIANTEPFK,3,FENERBAHCE,3
28,BESIKTAS,2,DİYARBAKIRSPOR,0
29,ALTAY,2,ANKARAGUCU,3
30,MALATYASPOR,2,GALATASARAY,2
31,ADANASPOR A.Ş.,0,TRABZONSPOR,1
32,BURSASPOR,4,KOCAELİSPOR,2
33,ELAZIĞSPOR,1,GAZIANTEPFK,3
34,GENÇLERBİRLİĞİ,3,GÖZTEPE A.Ş.,1
35,FENERBAHCE,3,DENİZLİSPOR,2
36,SAMSUNSPOR,1,ISTANBULSPOR,2
37,GALATASARAY,2,KOCAELİSPOR,0
38,MALATYASPOR,2,FENERBAHCE,0
39,DENİZLİSPOR,3,ELAZIĞSPOR,1
40,ANKARAGUCU,1,ADANASPOR A.Ş.,1
41,TRABZONSPOR,1,GENÇLERBİRLİĞİ,1
42,ISTANBULSPOR,1,BURSASPOR,1
43,GAZIANTEPFK,2,ALTAY,1
44,GÖZTEPE A.Ş.,2,BESIKTAS,2
45,DİYARBAKIRSPOR,1,SAMSUNSPOR,1
46,ELAZIĞSPOR,2,MALATYASPOR,1
47,SAMSUNSPOR,0,GÖZTEPE A.Ş.,0
48,ADANASPOR A.Ş.,0,GAZIANTEPFK,2
49,BURSASPOR,4,DİYARBAKIRSPOR,1
50,ALTAY,3,DENİZLİSPOR,1
51,GENÇLERBİRLİĞİ,0,ANKARAGUCU,1
52,KOCAELİSPOR,0,ISTANBULSPOR,1
53,BESIKTAS,0,TRABZONSPOR,0
54,FENERBAHCE,6,GALATASARAY,0
55,GALATASARAY,2,ISTANBULSPOR,0
56,ANKARAGUCU,0,BESIKTAS,1
57,TRABZONSPOR,0,SAMSUNSPOR,1
58,DİYARBAKIRSPOR,1,KOCAELİSPOR,1
59,DENİZLİSPOR,2,ADANASPOR A.Ş.,0
60,MALATYASPOR,6,ALTAY,0
61,GÖZTEPE A.Ş.,1,BURSASPOR,1
62,GAZIANTEPFK,2,GENÇLERBİRLİĞİ,0
63,FENERBAHCE,4,ELAZIĞSPOR,2
64,ELAZIĞSPOR,0,GALATASARAY,0
65,ISTANBULSPOR,1,DİYARBAKIRSPOR,0
66,ADANASPOR A.Ş.,1,MALATYASPOR,1
67,BURSASPOR,1,TRABZONSPOR,2
68,BESIKTAS,0,GAZIANTEPFK,0
69,SAMSUNSPOR,1,ANKARAGUCU,0
70,GENÇLERBİRLİĞİ,0,DENİZLİSPOR,0
71,ALTAY,1,FENERBAHCE,3
72,KOCAELİSPOR,1,GÖZTEPE A.Ş.,3
73,FENERBAHCE,1,ADANASPOR A.Ş.,1
74,MALATYASPOR,5,GENÇLERBİRLİĞİ,4
75,GAZIANTEPFK,4,SAMSUNSPOR,2
76,GÖZTEPE A.Ş.,1,ISTANBULSPOR,1
77,GALATASARAY,1,DİYARBAKIRSPOR,0
78,ELAZIĞSPOR,2,ALTAY,0
79,TRABZONSPOR,2,KOCAELİSPOR,0
80,DENİZLİSPOR,1,BESIKTAS,2
81,ANKARAGUCU,4,BURSASPOR,0
82,BESIKTAS,3,MALATYASPOR,0
83,ISTANBULSPOR,1,TRABZONSPOR,2
84,KOCAELİSPOR,3,ANKARAGUCU,0
85,SAMSUNSPOR,0,DENİZLİSPOR,0
86,ALTAY,1,GALATASARAY,2
87,GENÇLERBİRLİĞİ,1,FENERBAHCE,1
88,ADANASPOR A.Ş.,0,ELAZIĞSPOR,0
89,DİYARBAKIRSPOR,1,GÖZTEPE A.Ş.,0
90,BURSASPOR,1,GAZIANTEPFK,1
91,TRABZONSPOR,3,DİYARBAKIRSPOR,0
