TakimAdi,MacSayisi,Galibiyet,Beraberlik,Maglubiyet,AtGol,YeGol,Puan
FENERBAHCE,695,426,147,122,1378,707,1425
GALATASARAY,695,400,148,147,1286,728,1348
BESIKTAS,696,388,164,144,1237,744,1328
TRABZONSPOR,695,342,174,179,1128,812,1200
BASAKSEHIR,526,235,134,157,758,604,839
SIVASSPOR,594,220,163,211,815,817,823
KAYSERISPOR,621,210,164,247,788,876,794
KONYASPOR,587,192,182,213,732,785,758
ANTALYASPOR,519,170,149,200,630,716,659
KASIMPASA,485,159,114,212,680,763,591
ANKARAGUCU,447,126,110,211,500,692,488
ALANYASPOR,248,98,52,98,384,369,346
GAZIANTEPFK,146,44,43,59,187,223,175
KARAGUMRUK,111,43,32,36,180,166,161
HATAYSPOR,112,38,23,51,137,190,137
ADANADEMIR,71,33,19,19,130,88,118
ISTANBULSPOR,101,26,25,50,118,165,103
GIRESUNSPOR,71,20,19,32,78,103,79
UMRANIYESPOR,34,7,9,18,47,59,30
