ev,evGol,dep,depGol
TRABZONSPOR,0,FENERBAHCE,0
ISTANBULSPOR,2,ADANASPOR A.Ş.,2
ANKARAGUCU,1,MALATYASPOR,1
DİYARBAKIRSPOR,1,ALTAY,1
BURSASPOR,2,BESIKTAS,2
GÖZTEPE A.Ş.,2,ELAZIĞSPOR,1
GAZİANTEPSPOR,1,DENİZLİSPOR,1
KOCAELİSPOR,1,GENÇLERBİRLİĞİ,3
GALATASARAY,4,SAMSUNSPOR,1
DENİZLİSPOR,1,GALATASARAY,3
ELAZIĞSPOR,2,TRABZONSPOR,0
BESIKTAS,2,KOCAELİSPOR,1
GENÇLERBİRLİĞİ,4,ISTANBULSPOR,1
MALATYASPOR,1,GAZİANTEPSPOR,1
SAMSUNSPOR,1,BURSASPOR,0
FENERBAHCE,1,ANKARAGUCU,0
ADANASPOR A.Ş.,2,DİYARBAKIRSPOR,1
ALTAY,4,GÖZTEPE A.Ş.,2
GÖZTEPE A.Ş.,1,ADANASPOR A.Ş.,4
ISTANBULSPOR,1,BESIKTAS,2
TRABZONSPOR,0,ALTAY,0
KOCAELİSPOR,1,SAMSUNSPOR,2
GALATASARAY,2,BURSASPOR,0
ANKARAGUCU,3,ELAZIĞSPOR,1
DİYARBAKIRSPOR,1,GENÇLERBİRLİĞİ,4
DENİZLİSPOR,1,MALATYASPOR,0
GAZİANTEPSPOR,3,FENERBAHCE,3
BESIKTAS,2,DİYARBAKIRSPOR,0
ALTAY,2,ANKARAGUCU,3
MALATYASPOR,2,GALATASARAY,2
ADANASPOR A.Ş.,0,TRABZONSPOR,1
BURSASPOR,4,KOCAELİSPOR,2
ELAZIĞSPOR,1,GAZİANTEPSPOR,3
GENÇLERBİRLİĞİ,3,GÖZTEPE A.Ş.,1
FENERBAHCE,3,DENİZLİSPOR,2
SAMSUNSPOR,1,ISTANBULSPOR,2
GALATASARAY,2,KOCAELİSPOR,0
MALATYASPOR,2,FENERBAHCE,0
DENİZLİSPOR,3,ELAZIĞSPOR,1
ANKARAGUCU,1,ADANASPOR A.Ş.,1
TRABZONSPOR,1,GENÇLERBİRLİĞİ,1
ISTANBULSPOR,1,BURSASPOR,1
GAZİANTEPSPOR,2,ALTAY,1
GÖZTEPE A.Ş.,2,BESIKTAS,2
DİYARBAKIRSPOR,1,SAMSUNSPOR,1
ELAZIĞSPOR,2,MALATYASPOR,1
SAMSUNSPOR,0,GÖZTEPE A.Ş.,0
ADANASPOR A.Ş.,0,GAZİANTEPSPOR,2
BURSASPOR,4,DİYARBAKIRSPOR,1
ALTAY,3,DENİZLİSPOR,1
GENÇLERBİRLİĞİ,0,ANKARAGUCU,1
KOCAELİSPOR,0,ISTANBULSPOR,1
BESIKTAS,0,TRABZONSPOR,0
FENERBAHCE,6,GALATASARAY,0
GALATASARAY,2,ISTANBULSPOR,0
ANKARAGUCU,0,BESIKTAS,1
TRABZONSPOR,0,SAMSUNSPOR,1
DİYARBAKIRSPOR,1,KOCAELİSPOR,1
DENİZLİSPOR,2,ADANASPOR A.Ş.,0
MALATYASPOR,6,ALTAY,0
GÖZTEPE A.Ş.,1,BURSASPOR,1
GAZİANTEPSPOR,2,GENÇLERBİRLİĞİ,0
FENERBAHCE,4,ELAZIĞSPOR,2
ELAZIĞSPOR,0,GALATASARAY,0
ISTANBULSPOR,1,DİYARBAKIRSPOR,0
ADANASPOR A.Ş.,1,MALATYASPOR,1
BURSASPOR,1,TRABZONSPOR,2
BESIKTAS,0,GAZİANTEPSPOR,0
SAMSUNSPOR,1,ANKARAGUCU,0
GENÇLERBİRLİĞİ,0,DENİZLİSPOR,0
ALTAY,1,FENERBAHCE,3
KOCAELİSPOR,1,GÖZTEPE A.Ş.,3
FENERBAHCE,1,ADANASPOR A.Ş.,1
MALATYASPOR,5,GENÇLERBİRLİĞİ,4
GAZİANTEPSPOR,4,SAMSUNSPOR,2
GÖZTEPE A.Ş.,1,ISTANBULSPOR,1
GALATASARAY,1,DİYARBAKIRSPOR,0
ELAZIĞSPOR,2,ALTAY,0
TRABZONSPOR,2,KOCAELİSPOR,0
DENİZLİSPOR,1,BESIKTAS,2
ANKARAGUCU,4,BURSASPOR,0
BESIKTAS,3,MALATYASPOR,0
ISTANBULSPOR,1,TRABZONSPOR,2
KOCAELİSPOR,3,ANKARAGUCU,0
SAMSUNSPOR,0,DENİZLİSPOR,0
ALTAY,1,GALATASARAY,2
GENÇLERBİRLİĞİ,1,FENERBAHCE,1
ADANASPOR A.Ş.,0,ELAZIĞSPOR,0
DİYARBAKIRSPOR,1,GÖZTEPE A.Ş.,0
BURSASPOR,1,GAZİANTEPSPOR,1
TRABZONSPOR,3,DİYARBAKIRSPOR,0
ELAZIĞSPOR,0,GENÇLERBİRLİĞİ,3
GAZİANTEPSPOR,2,KOCAELİSPOR,1
ANKARAGUCU,1,ISTANBULSPOR,0
ALTAY,0,ADANASPOR A.Ş.,4
MALATYASPOR,2,SAMSUNSPOR,1
GALATASARAY,3,GÖZTEPE A.Ş.,1
DENİZLİSPOR,2,BURSASPOR,2
FENERBAHCE,0,BESIKTAS,1
BESIKTAS,3,ELAZIĞSPOR,1
DİYARBAKIRSPOR,3,ANKARAGUCU,0
GÖZTEPE A.Ş.,1,TRABZONSPOR,2
ISTANBULSPOR,1,GAZİANTEPSPOR,3
ADANASPOR A.Ş.,0,GALATASARAY,0
KOCAELİSPOR,2,DENİZLİSPOR,1
GENÇLERBİRLİĞİ,1,ALTAY,0
BURSASPOR,1,MALATYASPOR,1
SAMSUNSPOR,1,FENERBAHCE,3
ANKARAGUCU,1,GÖZTEPE A.Ş.,0
ADANASPOR A.Ş.,2,GENÇLERBİRLİĞİ,7
GAZİANTEPSPOR,2,DİYARBAKIRSPOR,0
GALATASARAY,2,TRABZONSPOR,1
MALATYASPOR,2,KOCAELİSPOR,1
ELAZIĞSPOR,3,SAMSUNSPOR,1
DENİZLİSPOR,2,ISTANBULSPOR,1
ALTAY,0,BESIKTAS,1
FENERBAHCE,7,BURSASPOR,1
DİYARBAKIRSPOR,0,DENİZLİSPOR,0
ISTANBULSPOR,0,MALATYASPOR,0
KOCAELİSPOR,1,FENERBAHCE,2
TRABZONSPOR,3,ANKARAGUCU,0
BESIKTAS,3,ADANASPOR A.Ş.,0
GÖZTEPE A.Ş.,2,GAZİANTEPSPOR,1
BURSASPOR,1,ELAZIĞSPOR,1
SAMSUNSPOR,2,ALTAY,4
GENÇLERBİRLİĞİ,1,GALATASARAY,0
FENERBAHCE,2,ISTANBULSPOR,0
ELAZIĞSPOR,0,KOCAELİSPOR,1
GAZİANTEPSPOR,0,TRABZONSPOR,0
ALTAY,2,BURSASPOR,1
ANKARAGUCU,1,GALATASARAY,2
MALATYASPOR,0,DİYARBAKIRSPOR,1
ADANASPOR A.Ş.,1,SAMSUNSPOR,1
DENİZLİSPOR,0,GÖZTEPE A.Ş.,0
BESIKTAS,1,GENÇLERBİRLİĞİ,1
KOCAELİSPOR,3,ALTAY,0
ISTANBULSPOR,2,ELAZIĞSPOR,1
TRABZONSPOR,1,DENİZLİSPOR,0
DİYARBAKIRSPOR,3,FENERBAHCE,0
GÖZTEPE A.Ş.,0,MALATYASPOR,3
